No,レアリティ,COST,名称,HP (Lv1),HP (MAX),ATK (Lv1),ATK (MAX),効果,効果 (最大解放),備考,イラストレーター,フレーバーテキスト,攻撃力,宝具威力,ダメージプラス,特攻状態を付与,バスター,クイック,アーツ,クリティカル威力アップ,スター発生率,スター集中,毎ターンスター獲得,必中・無敵貫通,弱体付与率,防御無視を付与,防御力,ダメージカット,特防状態を付与,ガッツ状態を付与,回避・無敵,弱体耐性,弱体無効,HP毎ターン回復,HP回復量,HP最大値上昇,NPチャージ,NP獲得量,NP毎ターン獲得,ターゲット集中状態を付与,宝具チャージ段階上昇,退場時,報酬増加系,強化耐性,絆礼装,バレンタイン礼装
200,4,9,価値無き宝,-,100,-,100,-,マタ・ハリ(アサシン)装備時のみ、自身がフィールドにいる間、味方全体のNP獲得量を15%アップ,マタ・ハリの絆Lv10,---,抱かれる度にきれいなものが増えていく。<br>口づけする度に価値あるものが増えていく。<br>生きるために必要なのに、私にはこれっぽっちも<br>必要ないものが、無限に増えていく。<br><br>そしてその度に、本当に必要なものが<br>遠ざかっていくのです。 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,○,-
201,4,9,永劫の孤独,-,100,-,100,-,アルテラ(セイバー)装備時のみ、自身がフィールドにいる間、味方全体の攻撃力を15%アップ,アルテラの絆Lv10,coming soon...,coming soon...,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
202,4,9,王妃の贈り物,-,100,-,100,-,シュヴァリエ・デオン(セイバー)装備時のみ、自身がフィールドにいる間、味方全体のArtsカードの性能を15%アップ,デオンの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
203,4,9,エリクサー,-,100,-,100,-,エリザベート(ランサー)装備時のみ、自身がフィールドにいる間、味方全体のHPを毎ターン500回復,エリザベートの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,-
204,4,9,わたしの首飾り,-,100,-,100,-,マリー・アントワネット(ライダー)装備時のみ、自身がフィールドにいる間、味方全体のスター発生率を20%アップ,マリーの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
205,4,9,彼のくれた杖,-,100,-,100,-,マルタ(ライダー)装備時のみ、自身がフィールドにいる間、味方全体のHP回復量を30%アップ,マルタの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,○,-
206,4,9,アイアン・メイデン,-,100,-,100,-,カーミラ(アサシン)装備時のみ、自身の宝具威力を30%アップ＆攻撃時に極低確率で宝具封印状態を付与（1ターン）,カーミラの絆Lv10,coming soon...,coming soon...,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
207,4,9,ネコエプロン,-,100,-,100,-,タマモキャット(バーサーカー)装備時のみ、自身がフィールドにいる間、味方全体の最大HPを2000増やす,タマモキャットの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,○,-
208,4,9,勝利の渇き,-,100,-,100,-,ブーディカ(ライダー)装備時のみ、自身がフィールドにいる間、味方全体のスター発生率を20%アップ,ブーディカの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
209,4,9,親愛なる君へ,-,100,-,100,-,アンデルセン(キャスター)装備時のみ、自身がフィールドにいる間、味方全体の弱体耐性を30％アップ,アンデルセンの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,○,-
210,4,9,聖なる献身,-,100,-,100,-,アーラシュ(アーチャー)装備時のみ、自身がやられた時に自身を除く味方全体のHPを5000回復&弱体状態を解除,アーラシュの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,○,-
211,5,12,遮那王流離譚,400,1600,250,1000,自身のQuickカードの性能を10%アップ＆自身がやられた時に味方全体のQuickカードの性能を20%アップ(1ターン),自身のQuickカードの性能を15%アップ＆自身がやられた時に味方全体のQuickカードの性能を30%アップ(1ターン)[最大開放],イベント期間限定,coming soon...,coming soon...,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-
212,5,12,ゴールデン捕鯉魚図,0,0,500,2000,自身のNPを30%チャージした状態でバトルを開始する＆登場時にスターを15個獲得(1回),自身のNPを50%チャージした状態でバトルを開始する＆登場時にスターを20個獲得(1回)[最大開放],イベント期間限定,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-
213,5,12,狐の夜の夢,400,1600,250,1000,自身のNP獲得量を20%アップ＆毎ターンスター3個獲得状態を付与,自身のNP獲得量を25%アップ＆毎ターンスター4個獲得状態を付与[最大開放],イベント期間限定,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-
214,4,9,恋談火焔行,0,0,400,1500,自身に〔男性〕特攻状態を25%付与＆弱体付与成功率を12%アップ,自身に〔男性〕特攻状態を30%付与＆弱体付与成功率を15%アップ[最大開放],イベント期間限定,coming soon...,coming soon...,-,-,-,○,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
215,3,5,勧進帳読み上げ,300,1500,0,0,自身に防御弱体無効状態を1回付与,自身に防御弱体無効状態を2回付与[最大開放],イベント期間限定,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-
216,4,9,王律鍵,-,100,-,100,-,ギルガメッシュ(アーチャー)装備時のみ、自身の宝具威力を30%アップ&攻撃時に確率で自身のクリティカル威力を10%アップ(3ターン),ギルガメッシュの絆Lv10,coming soon...,coming soon...,-,○,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
217,4,9,ゴールデングラス,-,100,-,100,-,坂田金時(バーサーカー)装備時のみ、自身の宝具威力を30%アップ＆攻撃時確率で自身のNPを5%増やす,坂田金時の絆Lv10,coming soon...,coming soon...,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,○,-
218,4,9,万雷の喝采,-,100,-,100,-,ネロ(セイバー)装備時のみ、自身がフィールドにいる間、味方全体のArtsカード性能を15%アップ,ネロの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
219,4,9,ラインの黄金,-,100,-,100,-,ジークフリート(セイバー)装備時のみ、自身がフィールドにいる間、味方全体のNP獲得量を15%アップ,ジークフリートの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,○,-
220,4,9,女神のきらめき,-,100,-,100,-,ステンノ(アサシン)装備時のみ、自身がフィールドにいる間、味方全体のQuickカード性能を15%アップ,ステンノの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
221,4,9,花の船出,-,100,-,100,-,アルトリア・ペンドラゴン〔リリィ〕(セイバー)装備時のみ、自身がフィールドにいる間、味方全体の攻撃力を10%アップ＆スター発生率を10%アップ,セイバーリリィの絆Lv10,coming soon...,coming soon...,○,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
222,4,9,契約の箱,-,100,-,100,-,ダビデ(アーチャー)装備時のみ、自身の宝具威力を30％アップ＆攻撃時に極低確率で敵に即死効果,ダビデの絆Lv10,coming soon...,coming soon...,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
223,4,9,バビロンへの扉,-,100,-,100,-,ダレイオス三世(バーサーカー)装備時のみ、自身がフィールドにいる間、味方全体のBusterカードの性能を15%アップ,ダレイオス三世の絆Lv10,coming soon...,coming soon...,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
224,4,9,血を啜る斧,-,100,-,100,-,エイリーク(バーサーカー)装備時のみ、自身がフィールドにいる間、味方全体のクリティカル威力を25％アップ,エイリークの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
225,4,9,叛逆せよ,-,100,-,100,-,スパルタクス(バーサーカー)装備時のみ、自身にガッツ状態（HP50%回復）を1回付与,スパルタクスの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
226,5,12,Go West!!,400,1600,250,1000,自身の宝具威力を20%アップ＆毎ターンスター3個獲得状態を付与,25%/4個,イベント期間限定,coming soon...,coming soon...,-,○,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
227,5,12,英雄風采 三英傑,400,1600,250,1000,自分の宝具威力を10%アップ＆スター発生率を15%アップ＆NPを25%チャージした状態でバトルを開始する,20%/20%/40%,イベント期間限定,coming soon...,coming soon...,-,○,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-
228,4,9,三昧真火,0,0,400,1500,宝具威力15%アップ＆Buster性能8%アップ,20%/10%,イベント期間限定,coming soon...,coming soon...,-,○,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
229,3,5,三色兼備,0,0,200,1000,スター集中度100%アップ＆クリティカル威力を5%アップ,20%/10%,イベント期間限定,coming soon...,coming soon...,-,-,-,-,-,-,-,○,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
230,4,9,トライスター・ベルト,-,100,-,100,-,自身がフィールドにいる間、味方全体のクリティカル威力を25%アップ,オリオンの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
231,4,9,黄金の舵,-,100,-,100,-,味方全体の宝具威力を20%アップ,ドレイクの絆Lv10,coming soon...,coming soon...,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
232,4,9,黒騎士の兜,-,100,-,100,-,自身の宝具威力を30%アップ＆攻撃時に確率で敵にクリティカル発生率ダウン(3ターン),ランスロットの絆Lv10,coming soon...,coming soon...,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
233,4,9,黄金のリンゴ,-,100,-,100,-,自身がフィールドにいる間、味方全体のQuickカード性能を15%アップ,アタランテの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
234,4,9,カボチャの聖杯,-,100,-,100,-,自身がフィールドにいる間、味方全体の弱体耐性を30%アップ,ハロエリの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,○,-
235,4,9,回転式火縄銃,-,100,-,100,-,自身がフィールドにいる間、味方全体のクリティカル威力を25%アップ,織田信長の絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
236,4,9,ラムレイ二号,-,100,-,100,-,自身がフィールドにいる間、味方全体のスター発生率を20%アップ,サンタオルタの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
237,4,9,心を留めるもの,-,100,-,100,-,自身がフィールドにいる間、味方全体のBusterカード性能を15%アップ,ジキル＆ハイド（殺）の絆Lv10,coming soon...,coming soon...,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
238,4,9,在りし日の栄光,-,100,-,100,-,自身がフィールドにいる間、味方全体のBusterカード性能を15%アップ,ティーチの絆Lv10,coming soon...,coming soon...,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
239,4,9,山中の天,-,100,-,100,-,自身がフィールドにいる間、味方全体のQuickカード性能を15%アップ,小次郎の絆Lv10,coming soon...,coming soon...,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
240,5,12,風雲仙姫,750,3000,0,0,自身がやられた時に味方全体の防御力を20%アップ(3ターン),25%,イベント期間限定,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-
241,5,12,九首牛魔羅王,0,0,500,2000,自身の登場時に一度だけ味方全体のBusterカード性能を10%アップ(3ターン),15%,イベント期間限定,coming soon...,coming soon...,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
242,5,12,パーソナル・レッスン,0,0,500,2000,クエストクリア時に得られる魔術礼装EXPを2%増やす,10%,期間限定マナプリ交換,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-
243,3,5,ブロンズリンク・マニピュレーター,0,0,200,1000,自身の攻撃力を15%アップ(3ターン),20%,,coming soon...,coming soon...,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
244,3,5,アトゴウラ,160,800,100,500,自身のQuickカード性能を10%アップ＆防御力を10%ダウン【デメリット】,15%,,coming soon...,coming soon...,-,-,-,-,-,○,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
245,3,5,過ぎ去りし夢,0,0,200,1000,〔アサシン〕クラスが装備した場合宝具威力を15%アップ,25%,,coming soon...,coming soon...,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
246,3,5,激辛麻婆豆腐,0,0,200,1000,自身のHP回復量を10%アップ,20%,,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
247,3,5,宝石剣ゼルレッチ,160,800,100,500,自身のNP獲得量を5%アップ＆NPを25%チャージした状態でバトルを開始する,10%/40%,,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-
248,4,9,たまも倶楽部,-,100,-,100,-,自身がフィールドにいる間、味方全体のArtsカード性能を15%アップ,玉藻の前の絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
249,4,9,覚悟の鉢金,-,100,-,100,-,自身がフィールドにいる間、味方全体のクリティカル威力を25%アップ,沖田総司の絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
250,4,9,キャリコ・ジャック,-,100,-,100,-,自身がフィールドにいる間、味方全体のクリティカル威力を25%アップ,アンメアの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
251,4,9,魔境に臨みて,-,100,-,100,-,自身がフィールドにいる間、味方全体のQuickカード性能を15%アップ,スカサハの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
252,4,9,預言の星,-,100,-,100,-,自身の宝具威力を30%アップ＆攻撃時に確率で自身のクリティカル威力を10%アップ(3ターン),クー・フーリン（槍）の絆Lv10,coming soon...,coming soon...,-,○,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
253,4,9,ヘカテの錫杖,-,100,-,100,-,自身がフィールドにいる間、味方全体のArtsカード性能を15%アップ,メディアの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
254,4,9,カタチのない島,-,100,-,100,-,自身がフィールドにいる間、味方全体のNP獲得量を15%アップ,メドゥーサの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,○,-
255,4,9,賢者の樽,-,100,-,100,-,自身がフィールドにいる間、味方全体のQuickカード性能を15%アップ,アレキサンダーの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
256,4,9,シャイタンの腕,-,100,-,100,-,自身がフィールドにいる間、味方全体の即死付与成功率を20%アップ,呪腕のハサンの絆Lv10,coming soon...,coming soon...,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
